t	slot	cpu	diskGB	onchain	submitted	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1787331346	277	30	107	346.1343626436781	375.5736985632184	13506	18354	8512	26886	22519	22215	28228	22433	22430	24526	22617	22318	301.15179310344826	329.35593220338984	365.8206436781609	233.4915254237288	484.20338983050846	482.5423728813559	133.67796610169492	487.6101694915254	491.37001264367814	196.35457471264368	487.7587870689655	487.6655135057471
1787331356	286	18	107	352.03389830508473	484.79661016949154	16611	20112	12025	31847	27639	27310	31219	27682	27767	31939	27861	27628	284.5593220338983	260.79661016949154	313.64406779661016	233.864406779661	412.6101694915254	410.59322033898303	137.10344827586206	416.3728813559322	417.23002873563223	163.47581379310344	415.86071034482757	415.27664971264363
1787331367	294	12	106	352.9664568965517	498.21790603448284	19314	22549	15050	31897	32231	31896	31201	32209	31880	32039	31955	31773	323.630323275862	265.20338983050846	352.0161068965517	250.03389830508473	459.49152542372883	456.9491525423729	142.5663448275862	461.8305084745763	463.48531350574706	199.9480238505747	461.3489137931034	461.1943241379311
1787331377	305	29	106	137.40677966101694	497.7457627118644	20948	24061	18243	31897	32731	32446	31201	32738	32395	32039	32693	32942	289.4237288135593	228.18965517241378	316.1694915254237	254.3448275862069	445.5593220338983	447.9491525423729	142.38141206896555	445.728813559322	438.93379310344824	199.68757356321842	441.9987284482759	451.1304824712644
1787331387	305	5	106	137.40677966101694	337.1864406779661	24015	26868	22311	31888	32738	32396	31186	32733	32362	32038	32707	32926	315.3728813559322	225.45254827586209	363.8135593220339	212.3728813559322	407.49152542372883	409.0169491525424	112.38983050847457	406.45762711864404	399.79661016949154	170.0677966101695	403.8813559322034	412.864406779661
1787331397	325	19	106	259.6949152542373	305.7118644067797	13506	21056	18211	19447	20328	19870	23833	20479	19717	22892	19818	20167	284.2881355932203	227.250625	347.91525423728814	120.29548793103447	287.8305084745763	293.3620689655172	93.75639137931034	341.1186440677966	279.92450431034484	137.48408534482758	285.6630017241379	294.48112643678155
1787331407	325	14	106	249.61016949152543	344.1186440677966	17216	23468	21552	28968	27513	27084	31544	27604	27626	31912	27673	27997	286.8474576271186	228.91281609195403	357.7457627118644	121.52542372881356	286.40677966101697	285.60849655172416	96.05084745762711	287.40677966101697	277.79661016949154	139.6949152542373	281	293.2881355932203
1787331417	325	4	106	243.10169491525423	270.22033898305085	20763	25900	24270	32647	33446	33362	31544	33821	33255	31912	33376	33390	328.864406779661	235.83512931034483	380.2542372881356	157.93583448275862	371.23728813559325	372.95423275862066	92.47702701149427	375.6206896551724	363.49501724137923	133.76449655172414	364.64040833333337	375.3805508620689
1787331427	325	4	106	246.05172413793102	260.8305084745763	24387	28737	27203	32647	33446	33362	31544	33821	33255	31912	33450	33390	308	235.27055977011497	333.3448275862069	141.38983050847457	275.44827586206895	274.7464379310345	85.62711864406779	275.1207594827586	263.0508474576271	97.77966101694915	267.1864406779661	271.1186440677966
1787331437	325	3	106	228.864406779661	247.8448275862069	28417	31394	29574	32647	33446	33362	31544	33821	33255	31912	33450	33390	357.6949152542373	271.5593220338983	347.89830508474574	141.38983050847457	254	256.4237288135593	85.62711864406779	256.47457627118644	251.15254237288136	97.77966101694915	252.3050847457627	248.0677966101695
1787331447	325	2	106	230.04766206896554	245.32507183908046	30598	31394	29574	32647	33446	33362	31544	33821	33255	31912	33450	33390	336.7092528735632	215.72881355932202	259.975890229885	134.27118644067798	242.04436551724135	244.56046752873564	78.72881355932203	244.56253448275862	238.6949152542373	92.1551724137931	239.05084745762713	235.33898305084745
1787331457	325	2	106	0	175.8248043103448	30598	31394	29574	32647	33446	33362	31544	33821	33255	31912	33450	33390	306.47457627118644	184.72881355932202	214.08474576271186	134.27118644067798	240.864406779661	244.25423728813558	78.72881355932203	243.5593220338983	242.8103448275862	91.20290229885057	243.17241379310346	239.39655172413794
1787331467	325	2	106	0	19.203389830508474	30598	31394	29574	32647	33446	33362	31544	33821	33255	31912	33450	33390	221.76271186440678	129.76271186440678	132.3728813559322	29.35593220338983	86.9322033898305	90.61016949152543	0	90.44067796610169	88.01724137931035	0	88.05084745762711	82.51038649425288
1787331477	325	1	106	0	0	30598	31394	29574	32647	33446	33362	31544	33821	33255	31912	33450	33390	179.38983050847457	100.88135593220339	100.15254237288136	0	11.677966101694915	14.508474576271187	0	14.76271186440678	10.518077011494254	0	12.570812068965518	6.117752011494252
1787331488	325	1	106	0	0	30598	31394	29574	32647	33446	33362	31544	33821	33255	31912	33450	33390	93.8135593220339	71.96610169491525	30.728813559322035	0	0	0	0	0	0	0	0	0
1787331498	325	0	106	0	0	30598	31394	29574	32647	33446	33362	31544	33821	33255	31912	33450	33390	50.13559322033898	5.689655172413793	0	0	0	0	0	0	0	0	0	0
1787331508	325	0	106	0	0	30598	31394	29574	32647	33446	33362	31544	33821	33255	31912	33450	33390	6.508474576271187	0	0	0	0	0	0	0	0	0	0	0
1787331518	448	45	106	0	0	30598	31394	15785	32647	33446	33362	31544	33821	33255	31912	33450	33390	0	0	0	0	0	0	0	0	0	0	0	0
1787331528	448	43	106	167.40677966101694	181.52542372881356	24236	23467	20199	28487	26406	26109	29296	26636	25692	26472	26584	26471	54.33898305084746	34.00999798850575	69.91525423728814	72.51373103448276	109.71186440677965	108.54948879310344	68.7888275862069	108.47457627118644	21.642664655172418	71.79661016949153	109.01694915254237	107.32203389830508
1787331538	460	17	105	285.58620689655174	333.37288135593224	20433	18423	9463	28267	21825	21521	26053	21858	19580	21672	21159	21132	85.89655172413794	55.016949152542374	104.75862068965517	109.2542372881356	166.59322033898306	164.61016949152543	97.22033898305085	165.5593220338983	153.77966101694915	112.2542372881356	163.88135593220338	165.79661016949152
1787331548	460	14	105	282.66370804597705	499.9830508474576	24350	20895	13812	30813	27410	27113	32341	27446	24164	30379	26798	26770	169.67796610169492	112.88135593220339	197.03389830508473	164.66101694915255	305.52542372881356	303.4237288135593	154.61016949152543	304.40677966101697	200.83050847457628	169.5084745762712	237.23728813559322	238.9322033898305
1787331558	460	11	105	282.249608045977	524.051724137931	27442	23832	17488	30813	32940	32636	32341	32971	29153	33040	32323	32268	211.72322701149423	148.84745762711864	246.5301396551724	165.0677966101695	371.2542372881356	369.1525423728813	154.94915254237287	370.1525423728813	318.1186440677966	254.86206896551724	368.52542372881356	370.1186440677966
1787331568	460	5	105	280.7457627118644	515.1694915254237	31131	26619	21940	30813	34148	33756	32341	34650	33608	33040	33488	34121	252.94915254237287	181.88135593220338	293.79661016949154	165.0677966101695	423.20338983050846	418.49152542372883	154.94915254237287	429.08474576271186	377.6949152542373	252.30920057471266	420.4310344827586	433.1206896551724
1787331578	460	3	105	113.64056896551725	491.4274945402299	31609	30217	25520	30813	34148	33756	32341	34650	33608	33040	33488	34121	298.618441091954	256.6271186440678	374.39005431034485	165.0677966101695	423.20338983050846	418.49152542372883	154.94915254237287	429.08474576271186	424.8965517241379	251.96088908045976	416.1146091954023	433.1206896551724
1787331588	460	2	105	113.33898305084746	319.1186440677966	31609	31506	29114	30813	34148	33756	32341	34650	33608	33040	33488	34121	243.54237288135593	261.6271186440678	364.4406779661017	92.79661016949153	313.49152542372883	310.64406779661016	87.6896551724138	320.6101694915254	311.8616635057472	179.5032235632184	305.9232471264368	320.3092568965517
1787331598	460	1	105	0	142.25531609195403	31609	31506	31400	30813	34148	33756	32341	34650	33608	33040	33488	34121	213.3572643678161	240.4915254237288	397.75284482758616	55.813559322033896	256.6101694915254	253.88135593220338	58.13200287356321	263.52542372881356	265.1633913793103	138.6748655172414	250.4045804597701	261.1200284482759
1787331609	460	0	105	0	8.491525423728813	31609	31506	31400	30813	34148	33756	32341	34650	33608	33040	33488	34121	128.20338983050848	185.77586206896552	304.6779661016949	0	117.67796610169492	115.0677966101695	0.3408735632183908	124.67796610169492	159.37516896551722	23.6938908045977	110.83851609195403	121.6648867816092
1787331619	460	1	105	0	0	31609	31506	31400	30813	34148	33756	32341	34650	33608	33040	33488	34121	87.2542372881356	149.18965517241378	256.47457627118644	0	51.94915254237288	49.33898305084746	0	58.932203389830505	99.57627118644068	0	44.779661016949156	55.66101694915254
1787331629	559	48	105	235.38983050847457	51.79661016949152	19210	21536	21123	19205	22321	21871	23316	22853	21498	22975	21357	21966	10.661016949152541	84.82232040229886	161.4915254237288	7.9587267241379305	10.932203389830509	10.948275862068966	2.889316091954023	13	9.564175862068966	4.823625000000001	11.623757471264367	12.340855172413795
1787331639	559	19	105	241.89830508474577	240.71186440677968	22523	25407	24108	27935	28940	28527	31031	29517	27240	31673	28505	29158	48.067796610169495	79.90911350574711	147.32203389830508	53.86440677966102	79.01694915254237	80.70689655172414	40.35593220338983	82.22033898305085	70.61016949152543	51.152542372881356	80.0677966101695	80.7457627118644
1787331649	559	7	105	241.89830508474577	285.8305084745763	26398	28518	27390	31074	34078	33366	31767	34503	32254	32355	33857	33760	136.11864406779662	132.7003293103448	174.22033898305085	138.9146068965517	240.71186440677965	236.70296034482757	93.20531896551724	239.40677966101694	203.8857896551724	110.7771195402299	247.4455215517241	235.22873333333334
1787331659	590	61	104	388.3448275862069	376.03389830508473	20952	22436	17338	24929	23845	23324	27961	24326	26255	22998	23654	23713	174.6206896551724	164.0738525862069	144.0344827586207	138.5084745762712	244.86206896551724	236.3320025862069	93.1864406779661	244.32758620689654	235.66101694915255	111.22033898305085	248.15254237288136	237.45762711864407
1787331669	590	14	104	384.64406779661016	520.6379310344828	24192	25082	21050	30514	30476	29848	31747	31108	32046	30226	29769	29812	243.5084745762712	227.23728813559322	232.25423728813558	235.32203389830508	391.0508474576271	388.1864406779661	156.01694915254237	395.8474576271186	367.77966101694915	210.10169491525423	400.1864406779661	391.2881355932203
1787331679	590	7	104	386.60663678160915	533.3054991379311	27400	27844	24662	30514	33553	32841	31747	34221	32972	32387	33585	33556	285.90706264367816	261.4406779661017	281.6338844827586	235.32203389830508	469.45927586206903	462.30901293103454	156.01694915254237	471.9029586206897	399.1694915254237	246.48275862068965	478.89830508474574	467.7118644067797
1787331689	613	19	104	243.76271186440678	552.2183241379311	24877	24320	15186	29479	26605	25937	29619	26994	28383	24411	26067	25901	358.47457627118644	317.23728813559325	367.6949152542373	270.93220338983053	523.0847457627119	517.2881355932203	193.03389830508473	525.3898305084746	448.6779661016949	281.43692241379307	547.0344827586207	463.2241379310345
1787331699	613	10	104	243.76271186440678	463.8135593220339	28498	27084	19148	30728	32669	32132	32048	33047	32903	32900	32748	32093	314.96610169491527	263.40677966101697	347.728813559322	183.6271186440678	447.23728813559325	442.10169491525426	137.40677966101694	445.9491525423729	402.94827586206895	234	460.22033898305085	455.44827586206895
1787331709	636	21	103	369.4237288135593	451.80727356321836	22968	21440	10198	23968	23694	23364	23233	24122	23102	21264	22955	23127	326.23728813559325	271.8813559322034	385.59322033898303	156.135593220339	427.76271186440675	437.4237288135593	133.94827586206895	436.47457627118644	336.4133258620689	257.63820689655176	436.84102586206893	442.488
1787331719	636	16	103	226.67796610169492	536.8305084745763	26509	24171	14189	30702	30864	30598	31866	31339	30278	30748	30842	30763	299.4406779661017	243.11864406779662	354.3050847457627	222.47457627118644	530.4745762711865	538.271186440678	171.18965517241378	537.2203389830509	354.35966091954026	277.4406779661017	469.5423728813559	470.8763198275862
1787331730	636	5	103	226.67796610169492	421.95887586206896	29577	27030	18174	30702	33581	34021	31977	34810	33394	32996	34309	34034	299.96610169491527	241.94915254237287	355.20338983050846	129.3103448275862	459.135593220339	471.89830508474574	155.27442212643678	468.23728813559325	352.117575862069	271.06138850574706	472.14231666666666	468.96648304597704
1787331740	667	6	103	233.1864406779661	426.9491525423729	31997	29478	21454	30683	33562	34048	32120	34778	33409	33001	34293	34074	327.9491525423729	248.17241379310343	396.96610169491527	131.39689655172413	389.20338983050846	404.3050847457627	155.05978477011493	402.64406779661016	322.9259706896552	238.4406779661017	404.8813559322034	401.7440431034483
1787331750	667	3	103	132.16949152542372	281.77512701149425	32276	31182	25428	30683	33562	34048	32120	34778	33409	33001	34293	34074	267.3050847457627	253.54212413793104	355.0508474576271	87.44291379310344	322.3728813559322	342.7457627118644	119.82692327586204	334.64406779661016	267.3719356321839	199.88772413793103	334.35552672413786	333.4347695402299
1787331760	667	4	103	132.16949152542372	221.94915254237287	32276	31182	29427	30683	33562	34048	32120	34778	33409	33001	34293	34074	224.3728813559322	223.8578390804598	402.76271186440675	71.46009310344827	244.864406779661	268.0344827586207	90.66961408045977	258.93220338983053	191.11067586206897	142.47457627118644	258.3220338983051	256.35593220338984
1787331770	694	20	102	235.3728813559322	256.17788103448277	21053	24103	23800	21390	23581	24127	30092	24848	23018	27029	23904	23536	174.96610169491527	174.63635948275862	363.79661016949154	75.38691896551725	187.88135593220338	202.4141965517242	89.28896436781609	201.23728813559322	187.73381637931035	116.2009879310345	204.7753344827586	197.45860689655174
1787331780	707	16	102	470.76271186440675	234.25423728813558	11057	22549	22957	14965	20742	21264	27471	21449	20167	27438	21582	20937	230.8793103448276	170.7822132183908	405.3448275862069	75.45477816091953	191.70689655172413	202.2776287356322	78.53413448275862	204.68965517241378	187.83349827586207	116.66101694915254	205.03389830508473	197.22397011494252
1787331790	720	19	101	608.5	364.22033898305085	7769	11063	16846	19263	11114	26126	18900	12370	11101	32408	12000	11124	212.56896551724137	155.61016949152543	352.3103448275862	178.33898305084745	230.39655172413794	231.59322033898306	104.66101694915254	226.88135593220338	226.74576271186442	139.79661016949152	234.79661016949152	226.16949152542372
1787331800	729	13	101	604.6949152542372	511.3898305084746	9293	13032	18688	25418	14812	29680	24386	15392	14473	31782	15078	14469	231.15254237288136	143.05084745762713	354.1186440677966	213.59322033898306	259.89830508474574	269.6271186440678	123.79661016949153	260.40677966101697	264.40677966101697	156.03389830508473	260.1525423728813	254.1864406779661
1787331810	729	10	101	607.605965229885	624.2144103448275	12103	17017	21264	32172	18378	32983	32268	19362	18426	31782	19020	18430	249.7520362068966	187.135593220339	291.91643793103447	320.52542372881356	353.86132471264364	356.9491525423729	208.33898305084745	350.64406779661016	354.3898305084746	181.56896551724137	351.3050847457627	347.3898305084746
1787331820	729	9	101	604.6949152542372	631.5254237288136	16467	19970	25281	32172	22747	32983	33263	23340	22394	31782	23003	22403	295.3728813559322	223.57627118644066	286.66101694915255	320.52542372881356	399.45762711864404	361.2542372881356	231.88135593220338	398	408.5	179.66551752873562	405.48275862068965	401.2931034482759
1787331830	729	9	101	376.6776390804597	501.54915517241375	20038	22961	28587	32172	26326	32983	33263	27316	26360	31782	26982	26371	382.39915948275853	292.23728813559325	336.90431465517247	307.47457627118644	477.6732333333333	343.3898305084746	227.03389830508473	472.6779661016949	488.3965517241379	172.03489109195402	475.4258390804597	472.2381545977012
1787331840	729	9	101	140.4406779661017	378.7457627118644	24191	26081	32094	32172	30750	32983	33263	31378	30364	31782	31016	30348	333.6779661016949	275.4406779661017	296.45762711864404	202.59322033898306	377.5593220338983	193.864406779661	173.9310344827586	375.96610169491527	383.08767241379314	85.23360459770116	377.07735775862074	377.344991091954
1787331850	729	4	101	13.016949152542374	245.20338983050846	27734	29386	33082	32172	34191	32983	33263	34264	32143	31782	34469	34171	361.271186440678	324.33898305084745	295.59322033898303	145.54237288135593	408.271186440678	136.64406779661016	132.20338983050848	368.66101694915255	378.06779661016947	42.42372881355932	399.8813559322034	408.45762711864404
1787331861	786	14	100	136.66101694915255	185.33898305084745	22700	26715	29717	27430	32200	32983	29207	32277	30198	29445	32159	31991	340.6101694915254	309	245.4915254237288	63.03448275862069	327.8135593220339	51.440677966101696	72.97241666666666	319.7457627118644	296.234075862069	2.494691379310345	324.8477011494253	328.9169543103448
1787331871	800	51	100	136.66101694915255	164.79661016949154	25891	29598	32087	32669	34203	32983	33237	34236	32172	32050	34392	34103	348.3220338983051	294.4737931034482	270.8135593220339	64.74837068965518	332.1186440677966	4.305084745762712	80.86440677966101	324.35593220338984	299.54237288135596	43.152542372881356	328.9830508474576	331.77966101694915
1787331881	804	17	100	295.08474576271186	307.91525423728814	19847	18298	24893	28975	25299	32983	25217	25135	22969	30956	24821	24822	326.728813559322	284.22516896551724	205.03389830508473	123.9745686781609	360.2881355932203	0	100.36128793103448	347.45762711864404	321.4948979885058	82.73514655172413	351.50787126436774	357.4076011494253
1787331891	804	10	100	295.08474576271186	393.89830508474574	23809	22404	27315	32228	31628	32983	33331	31489	30045	32153	31787	31655	326.6271186440678	295.92966810344836	190.15254237288136	169.09164310344826	340.6271186440678	0	156.6949152542373	328.45762711864404	305.728813559322	107.52542372881356	332.5593220338983	339.1525423728813
1787331901	804	5	99	295.08474576271186	393.89830508474574	27789	26538	29733	32228	34669	32983	33331	34408	32877	32153	34812	34328	374.271186440678	358.0479477011494	205.15254237288136	168.86889482758622	396.79661016949154	0	191.62510804597702	388.3620689655172	363.5337181034483	107.05499999999998	356.8573034482759	362.203948275862
1787331911	804	6	99	300.17241379310343	393.89830508474574	31729	29923	32145	32228	34669	32983	33331	34408	32877	32153	34812	34328	342.7413793103448	323.230792816092	195.27586206896552	168.64614655172417	315.08620689655174	0	191.66101694915255	310.01724137931035	309.7118644067797	107.52542372881356	308.08474576271186	302.1186440677966
1787331921	848	17	99	296.1186440677966	362.7758620689655	27002	19219	24013	26365	24738	32983	23491	24264	23072	26622	24336	24173	380.20338983050846	358.8813559322034	228.4010367816092	194.864406779661	354.33898305084745	0	220.77966101694915	346.23728813559325	352.7457627118644	134.83050847457628	301.6271186440678	296.5762711864407
1787331931	848	11	99	141.72025287356323	457.2586206896552	29730	22518	26429	31315	30203	32983	32194	29496	29304	32036	30403	30251	344.96241379310345	335.31358850574713	200.73040689655173	172.66005517241376	375.0364856321839	0	222.8135593220339	365.3811666666666	377.3728813559322	151.27586206896552	373.3220338983051	369.54237288135596
1787331941	867	16	98	334.5762711864407	359.6648229885057	20535	13657	15046	29831	22109	32983	30277	21106	20590	21339	21726	20623	362.7457627118644	373.8813559322034	208.26108103448274	129.66101694915255	368.06779661016947	0	220.4915254237288	356.91525423728814	375.35593220338984	110.86206896551724	376.2931034482759	354
1787331951	883	48	98	334.5762711864407	410.22033898305085	23676	5565	12176	31243	27047	32983	33013	25900	25954	29078	26866	25892	305.77966101694915	325.6949152542373	202.4406779661017	121.89830508474576	413.271186440678	0	216.66101694915255	397.2881355932203	348.7586206896552	164.22647931034484	417.08826436781607	398.9310344827586
1787331961	894	52	97	412.22033898305085	544.1892	22112	8784	13975	29728	21763	32983	26827	20240	20610	26900	21348	20660	294.2881355932203	316.76271186440675	198.2219224137931	135.74576271186442	355.6779661016949	0	201.41379310344828	338.135593220339	365.1645908045977	199.94583333333335	355.7440718390804	341.07233678160924
1787331972	894	10	97	418.728813559322	653.3898305084746	24878	12206	16746	31148	26509	32983	32112	24744	25201	32080	25963	25270	321.4406779661017	360.5762711864407	213.11864406779662	185.9322033898305	477.66101694915255	0	295.8077896551724	454.9491525423729	486.1731793103448	280.563925862069	477.387075862069	462.7112637931035
1787331982	894	10	97	281.03389830508473	533.7457627118645	27602	16766	19856	31148	32012	32983	32112	29967	31264	32080	32029	31340	277.54237288135596	341.64406779661016	236.57627118644066	152.54237288135593	494.1864406779661	0	262.79661016949154	469.9830508474576	502.1525423728813	250.16949152542372	490.7457627118644	476.6949152542373
1787331992	894	4	97	281.03389830508473	412.8813559322034	30286	20523	22909	31148	33251	32983	32112	32796	32616	32080	33655	31539	300.728813559322	398.2506666666667	281.10169491525426	102.03104770114942	481.66101694915255	0	206.2477629310345	483.49152542372883	492.13086896551727	195.5440333333333	482.47849137931036	448.09188419540226
1787332002	928	16	97	213.38983050847457	355.0520609195402	24917	16496	12579	28604	21754	32983	28240	21195	21491	21764	22178	20439	273.5593220338983	368.35593220338984	262.22033898305085	72.28813559322033	362.2881355932203	0	135.5084745762712	372.3898305084746	372.3220338983051	166.45762711864407	366.76271186440675	346.96610169491527
1787332012	928	12	97	142.25423728813558	435.2372881355932	27331	19531	16307	31607	27233	32983	32388	26415	26443	30220	27121	25370	292.0508474576271	404.40822011494254	320.79661016949154	111.16812413793102	363.1694915254237	0	155.98249166666665	371.54237288135596	373.03735344827584	168.98241379310346	367.44510747126435	349.14410431034486
1787332022	928	10	97	135.74576271186442	311.50847457627117	29763	22916	19989	31607	32735	32983	32388	31639	32517	33116	33137	31441	249.96610169491527	357.5593220338983	309.66101694915255	64.64406779661017	448.3220338983051	0	112.64406779661017	406.58620689655174	454.5762711864407	173.08474576271186	455.6101694915254	437.3220338983051
1787332032	928	4	97	131.4655172413793	223.76271186440678	31607	25687	23771	31607	34236	32983	32388	33263	33369	33116	34712	34217	243.8793103448276	349.07098850574715	324.8103448275862	54.20438275862069	378.7931034482759	0	62.95886206896552	390.2068965517241	370.6860137931035	131.4915254237288	379.0958494252874	378.0145810344827
