phase	t	slot	blocks	cumTxBytes	confBps	forged	adopted	didntAdopt	leader	mpBytesPerTx	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	mpB_bp1	mpB_bp2	mpB_bp3	mpB_relay11	mpB_relay12	mpB_relay13	mpB_relay21	mpB_relay22	mpB_relay23	mpB_relay31	mpB_relay32	mpB_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
3	380	1453	70	83520092	0	73	73		73	652.0	24458	23020	21882	28349	29899	30100	29184	29833	29781	29589	30194	30010	15946616	15009040	14267064	18483548	19494148	19625200	19027968	19451116	19417212	19292028	19686488	19566520	191	191	206	0	334	356	0	365	375	4	367	364
3	390	1453	70	83520092	0	73	73		73	652.0	27303	26278	24741	28349	29899	30100	29184	29833	29781	29589	30194	30010	17801556	17133256	16131132	18483548	19494148	19625200	19027968	19451116	19417212	19292028	19686488	19566520	206	222	195	0	0	0	0	0	1	0	21	11
3	400	1453	70	83520092	0	73	73		73	652.0	27688	27731	27531	28349	29899	30100	29184	29833	29781	29589	30194	30010	18052576	18080612	17950212	18483548	19494148	19625200	19027968	19451116	19417212	19292028	19686488	19566520	220	370	397	0	0	0	0	0	0	0	0	0
3	410	1453	70	83520092	0	73	73		73	652.0	27688	27731	27531	28349	29899	30100	29184	29833	29781	29589	30194	30010	18052576	18080612	17950212	18483548	19494148	19625200	19027968	19451116	19417212	19292028	19686488	19566520	0	0	79	0	0	0	0	0	0	0	0	0
3	420	1517	71	92519516	899944	74	74		74	652.0	14821	19001	18631	16944	17803	18016	23844	17789	17771	23992	18195	18058	9663292	12388652	12147412	11047488	11607556	11746432	15546288	11598428	11586692	15642784	11863140	11773816	57	33	34	83	111	102	69	120	97	76	97	108
3	430	1517	71	92519516	0	74	74		74	652.0	18451	21586	21674	25473	23224	23434	29298	23268	23244	29629	23678	23607	12030052	14074072	14131448	16608396	15142048	15278968	19102296	15170736	15155088	19318108	15438056	15391764	255	188	212	337	393	392	337	396	400	337	399	406
3	440	1538	72	101518940	899942	76	76		76	652.0	14224	16152	10125	21491	15483	15619	22643	15219	15269	16960	15673	15414	9274048	10531104	6601500	14012132	10094916	10183588	14763236	9922788	9955388	11057920	10218796	10049928	377	256	358	339	376	579	66	380	573	95	585	580
3	450	1540	72	101518940	0	76	76		76	652.0	16777	18057	12810	26987	20325	20379	28377	19990	20019	23494	20426	20197	10938604	11773164	8352120	17595524	13251900	13287108	18501804	13033480	13052388	15318088	13317752	13168444	171	94	162	292	503	289	169	482	284	217	287	293
3	460	1540	72	101518940	0	76	76		76	652.0	19314	20949	16372	28017	25989	26073	28915	25836	25873	29416	26196	26036	12592728	13658748	10674544	18267084	16944828	16998944	18852580	16845072	16869196	19179232	17079792	16975472	184	200	252	160	431	435	149	442	440	334	440	438
3	470	1540	72	101518940	0	76	76		76	652.0	22288	23608	20006	28017	29462	30180	28915	30382	29836	29416	29847	29823	14531776	15392416	13043912	18267084	19209224	19677360	18852580	19809064	19453072	19179232	19460244	19444596	390	378	503	0	666	741	0	755	741	151	711	724
3	480	1580	73	101607068	8813	77	77		78	652.0	24261	25401	22550	28029	29462	30184	28911	30355	29824	29419	29834	29850	15818172	16561452	14702600	18274908	19209224	19679968	18849972	19791460	19445248	19181188	19451768	19462200	217	193	261	0	0	0	0	14	0	0	0	0
3	490	1583	74	101695196	8813	78	78		78	652.0	26529	27123	24808	28001	29476	30165	28916	30313	29810	29392	29829	29852	17296908	17684196	16174816	18256652	19218352	19667580	18853232	19764076	19436120	19163584	19448508	19463504	266	218	296	12	29	26	12	20	25	13	25	30
3	500	1583	74	101695196	0	78	78		78	652.0	27627	28450	27834	28001	29476	30165	28916	30313	29810	29392	29829	29852	18012804	18549400	18147768	18256652	19218352	19667580	18853232	19764076	19436120	19163584	19448508	19463504	147	174	210	0	0	0	0	0	0	0	0	0
3	510	1608	75	110605844	891066	79	79		79	652.0	17739	15456	17012	22216	17140	17740	17115	17904	17407	22309	17448	17513	11565828	10077312	11091824	14484832	11175280	11566480	11158980	11673408	11349364	14545468	11376096	11418476	41	61	183	0	0	0	99	0	134	100	128	141
3	520	1618	76	110693972	8813	80	80		80	652.0	19428	17941	19196	27618	21202	21706	23372	21840	21432	28394	21253	21490	12667056	11697532	12515792	18006936	13823704	14152312	15238544	14239680	13973664	18512888	13856956	14011480	103	162	151	307	414	390	209	409	256	207	249	258
3	530	1628	77	110782100	8813	81	81		82	652.0	21319	20313	21428	27619	24985	25548	29346	25674	25304	29413	24917	25329	13899988	13244076	13971056	18007588	16290220	16657296	19133592	16739448	16498208	19177276	16245884	16514508	190	234	202	91	371	374	339	356	381	199	358	372
3	540	1636	79	110958356	17626	83	83		83	652.0	22211	21152	22393	27878	26940	27476	29112	27533	27154	29404	26531	27044	14481572	13791104	14600236	18176456	17564880	17914352	18981024	17951516	17704408	19171408	17298212	17632688	161	181	174	38	305	301	145	319	298	22	269	278
3	550	1636	79	110958356	0	83	83		83	652.0	25066	23824	25550	27878	29536	29473	29112	29581	29553	29404	29228	29604	16343032	15533248	16658600	18176456	19257472	19216396	18981024	19286812	19268556	19171408	19056656	19301808	188	180	235	0	346	296	0	272	334	0	363	355
3	560	1636	79	110958356	0	83	83		83	652.0	27830	26492	27859	27878	29536	29473	29112	29581	29553	29404	29228	29604	18145160	17272784	18164068	18176456	19257472	19216396	18981024	19286812	19268556	19171408	19056656	19301808	416	378	393	0	0	0	0	0	0	0	3	0
3	570	1636	79	110958356	0	83	83		83	652.0	27830	28093	27859	27878	29536	29473	29112	29581	29553	29404	29228	29604	18145160	18316636	18164068	18176456	19257472	19216396	18981024	19286812	19268556	19171408	19056656	19301808	8	197	0	0	0	0	0	0	0	0	0	0
3	580	1636	79	110958356	0	83	83		83	652.0	27830	28093	27859	27878	29536	29473	29112	29581	29553	29404	29228	29604	18145160	18316636	18164068	18176456	19257472	19216396	18981024	19286812	19268556	19171408	19056656	19301808	0	0	0	0	0	0	0	0	0	0	0	0
3	590	1636	79	110958356	0	83	83		83	652.0	27830	28093	27859	27878	29536	29473	29112	29581	29553	29404	29228	29604	18145160	18316636	18164068	18176456	19257472	19216396	18981024	19286812	19268556	19171408	19056656	19301808	0	0	0	0	0	0	0	0	0	0	0	0
3	600	1636	79	110958356	0	83	83		83	652.0	27830	28093	27859	27878	29536	29473	29112	29581	29553	29404	29228	29604	18145160	18316636	18164068	18176456	19257472	19216396	18981024	19286812	19268556	19171408	19056656	19301808	0	0	0	0	0	0	0	0	0	0	0	0
3	610	1713	81	111134612	17626	85	85		85	652.0	27825	28097	27874	27882	29524	29467	29111	29540	29512	29350	29228	29617	18141900	18319244	18173848	18179064	19249648	19212484	18980372	19260080	19241824	19136200	19056656	19310284	13	14	15	7	12	13	7	9	9	2	14	15
3	620	1713	81	111134612	0	85	85		85	652.0	27799	28099	27844	27804	29512	29436	29110	29568	29521	29333	29243	29609	18124948	18320548	18154288	18128208	19241824	19192272	18979720	19278336	19247692	19125116	19066436	19305068	11	14	11	1	13	11	8	16	15	6	15	13
3	630	1713	81	111134612	0	85	85		85	652.0	27799	28099	27844	27804	29512	29436	29110	29568	29521	29333	29243	29609	18124948	18320548	18154288	18128208	19241824	19192272	18979720	19278336	19247692	19125116	19066436	19305068	0	0	0	0	0	0	0	0	0	0	0	0
3	640	1713	81	111134612	0	85	85		85	652.0	27799	28099	27844	27804	29512	29436	29110	29568	29521	29333	29243	29609	18124948	18320548	18154288	18128208	19241824	19192272	18979720	19278336	19247692	19125116	19066436	19305068	0	0	0	0	0	0	0	0	0	0	0	0
3	650	1713	81	111134612	0	85	85		85	652.0	27799	28099	27844	27804	29512	29436	29110	29568	29521	29333	29243	29609	18124948	18320548	18154288	18128208	19241824	19192272	18979720	19278336	19247692	19125116	19066436	19305068	0	0	0	0	0	0	0	0	0	0	0	0
3	660	1713	81	111134612	0	85	85		86	652.0	27799	28099	27844	27804	29512	29436	29110	29568	29521	29333	29243	29609	18124948	18320548	18154288	18128208	19241824	19192272	18979720	19278336	19247692	19125116	19066436	19305068	0	0	0	0	0	0	0	0	0	0	0	0
3	670	1764	82	120045260	891065	86	86		86	652.0	16478	20285	20291	19401	19433	19392	26459	19662	19673	26399	19415	19757	10743656	13225820	13229732	12649452	12670316	12643584	17251268	12819624	12826796	17212148	12658580	12881564	28	4	1	48	59	56	30	96	62	33	52	60
3	680	1764	82	120045260	0	86	86		86	652.0	20154	23234	23104	27958	25287	25281	28783	25590	25595	29478	24535	25638	13140408	15148568	15063808	18228616	16487124	16483212	18766516	16684680	16687940	19219656	15996820	16715976	523	399	381	675	819	820	390	826	829	431	766	829
3	690	1764	82	120045260	0	86	86		86	652.0	23549	25985	26160	28717	30316	30083	28783	30204	30387	29478	29605	30457	15353948	16942220	17056320	18723484	19766032	19614116	18766516	19693008	19812324	19219656	19302460	19857964	258	211	210	98	402	403	0	400	407	0	403	407
3	700	1798	83	129044684	899941	87	87		87	652.0	11709	20323	20920	16353	19751	19541	22159	20000	20094	22775	19562	20149	7634268	13250596	13639840	10662156	12877652	12740732	14447668	13040000	13101288	14849300	12754424	13137148	325	265	311	79	289	260	60	117	272	67	295	272
