phase	t	slot	bpsUp	cpu	diskGB	confBps	submitted	blockdelay	partition	blocks	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
2	424	488	3	38	124	38647.93220338983	559.3728813559322	0.9995952714999999	0.35584266119999997	20	33481	32069	15358	107904	41009	36744	49991	43551	34896	33618	19400	30495	342.06779661016947	352.10197327586206	281	126.88100689655174	449.03389830508473	457.10344827586204	140.08474576271186	448.6949152542373	448.4237288135593	448.8135593220339	373.9491525423729	449.1186440677966
2	434	500	3	56	124	92316.81355932204	473.2426758620689	2.5027988615833334	0.39864752404545456	22	26422	24788	13593	107904	34289	30299	43597	37051	28179	36862	21851	33745	367.91525423728814	316.00813218390806	294.9830508474576	99.54422413793102	468.9491525423729	415.1170402298851	144.77120459770114	478.6551724137931	470.02803764367815	467.0758735632184	374.50898706896555	466.9620583333333
2	444	512	3	53	124	94455.8685	395.2413793103448	1.0936823569166667	0.3963530416956521	23	25022	23483	3978	107904	33923	29881	43667	36719	27759	36444	20596	33367	318.864406779661	300.10169491525426	259.0508474576271	42.32203389830509	397.10169491525426	399.6779661016949	121.16949152542372	400.6101694915254	400.8305084745763	399.1186440677966	315.77966101694915	398.4237288135593
2	454	512	3	15	123	144127.57112068965	349.2229	0.9419365474166667	0.3963530416956521	23	17765	14681	8018	89595	25257	21673	38395	27889	18851	28070	13413	25025	367.34052413793097	339.9491525423729	318.9552206896552	27.033898305084744	444.6600155172414	445.1694915254237	141	441.35593220338984	445.4406779661017	453.2068965517241	366.10344827586204	444.76271186440675
2	464	512	3	15	123	143466.10169491524	414.82302816091965	0.9419365474166667	0.3963530416956521	23	21886	18887	12582	95911	30579	26513	44692	32717	23697	32912	18198	29849	326.59322033898303	309.5762711864407	306.40677966101697	42.08474576271186	385.35593220338984	387.40677966101697	133.0677966101695	383.2542372881356	394.3965517241379	390.1824137931035	325.1151689655173	393.01724137931035
2	474	512	3	14	123	143466.10169491524	491.0677966101695	0.9419365474166667	0.3963530416956521	23	25348	22533	16120	102158	35385	31321	49877	37523	28497	38190	22288	35147	366.3050847457627	355.35593220338984	360.3050847457627	70.86440677966101	444.4237288135593	446.1525423728813	159.77586206896552	385.6949152542373	392.2182000000001	447.03389830508473	374.49152542372883	390.8417626436781
2	484	512	3	13	123	104818.16949152542	565.0030068965517	0.9419365474166667	0.3963530416956521	23	28749	26171	18579	107904	40199	36143	54998	42367	33339	42556	25580	39501	333.6949152542373	340.3050847457627	332.47457627118644	127.94915254237289	420.728813559322	422.3898305084746	148.51985689655172	417.2881355932203	423.4209724137931	423.5234482758621	357.69621494252874	424.5711862068965
2	495	512	3	13	123	49665.35593220339	591.9830508474577	0.9419365474166667	0.3963530416956521	23	32411	30027	21269	107904	45047	40999	60179	47203	38177	47878	29358	44349	380	355.2931034482759	359.59322033898303	135.63793103448276	433.864406779661	434.8813559322034	149.09219137931035	431.0169491525424	435.2273655172414	436.40677966101697	366.52779885057475	437.42442528735626
2	505	512	3	13	123	0	603.1525423728814	0.9419365474166667	0.3963530416956521	23	36101	34335	23977	107904	49881	45847	66020	52059	43497	52722	33631	49663	357.22033898305085	373.7399566091954	320.5762711864407	133.33898305084745	506.5762711864407	506.40677966101697	153.23728813559322	461.88367816091954	460.271186440678	507.08474576271186	387.3050847457627	507.1186440677966
2	515	512	3	13	123	0	572.0847457627118	0.9419365474166667	0.3963530416956521	23	39775	37738	26740	107904	54715	50683	70856	56893	47849	57051	37176	54017	344.77966101694915	371.41824597701157	298.5593220338983	120.64468505747126	460.7118644067797	468.9655172413793	148.1163275862069	461.1525423728813	460.8602425287356	459.6138485632185	379.33926896551725	460.2975275862068
