script_hash,purpose,redeemer_count,mem_avg,steps_avg,redeemer_fraction,mem_fraction,steps_fraction
f42059f8bafc3cceec94eb5d09c656b5685ef179b13b55baeec765e2,spend,236283,72655.694370733400,28719315.696901596814,0.00425180600040829631,0.00024188457660940558,0.00027355090519872470
af97793b8702f381976cec83e303e9ce17781458c73c4bb16fe02b83,spend,228247,1030117.227468488085,331621856.19616030,0.00410720180535710317,0.00331281948175502878,0.00305126421841109115
6b9c456aa650cb808a9ab54326e039d5235ed69f069c9664a8fe5b69,spend,226096,534999.577148644823,178050328.85396026,0.00406849553064890053,0.00170432478984618185,0.00162280841658321353
da11a50969a7f77225a9e9e2c86e43d391a69dd47f339a4fd830d165,spend,221849,63803.118661792480,26910386.408092892012,0.00399207268142261665,0.00019943685910167409,0.00024066282016761382
469772d2f93d70f92a4930fa608457392e58e480babf723ade7f9857,spend,210898,80782.025144856755,31607347.642637673188,0.00379501437629498896,0.00024004531864636043,0.00026871512173034132
187314a316d8584705690ff0e8f6d0e5fe0af7c2a1d0b997579bb45c,spend,206034,74173.796892745857,29178305.603050952755,0.00370748889039043403,0.00021532549190463240,0.00024234304199032849
7045237d1eb0199c84dffe58fe6df7dc5d255eb4d418e4146d5721f8,spend,204891,3447829.575164355682,990165959.56856084,0.00368692112098482007,0.00995347467796050886,0.00817828924245943491
948711b192d0703ff4a1bc0d565e681f64b3027b0cae562765b0c584,spend,202275,72532.431185267581,28560203.170401680880,0.00363984738103286371,0.00020671904389524324,0.00023288155628418633
21bd8c2e0df2fbe92137f78dbaba48f62308e52303049f0d628b6c4c,spend,198932,223015.155369674059,100724906.30558683,0.00357969160402239350,0.00062509362434684721,0.00080774283302502430
1a9cf06cd17107f521441065eb64567f49451c83f8fed5cd6c6bdf0d,spend,176183,67940.976768473689,28490762.873557607715,0.00317033361083926846,0.00016865601329968693,0.00020234835177142304
451e7db46cf0e46aacc15257b0af84510fe9da5bd7e28e4d37f31e8d,spend,175323,68333.279991786588,28682497.987634252209,0.00315485829877555192,0.00016880185071788751,0.00020271573363391632
22f12548a9b1e61fca4b5d9cb87f947f757d0b5e7fb2366fc32e40fe,spend,174978,4044782.772691424065,2000000000.00000000,0.00314865017940115401,0.00997205566093533484,0.01410733684308434787
0029cb7c88c7567b63d1a512c0ed626aa169688ec980730c0473b913,mint,172683,898164.930375311988,310924171.60839805,0.00310735268964972441,0.00218530330117304045,0.00216439072001911838
d63f64eb6daeb633fe63ec17818b563a806de8940a7e41c8e7c513c0,spend,171538,65160.261691287062,27133107.151546596089,0.00308674893114628786,0.00015748863005020468,0.00018762532797976121
1d1e863afcf2182c32eb5c83e11e8ffecdcb95216b6da7ed547f6149,spend,158579,61025.899192200733,25533317.474098083605,0.00285355757180477318,0.00013635337917547288,0.00016322418632281003
483788748bd6129043bfc87fba9c0b5bc7e49b892efdc9dd783e3285,spend,152515,6406107.621178244763,2730304706.87845130,0.00274443862720666029,0.01376616062581184238,0.01678631115915198883
98df3b00a1500fcb77daa0520550fb088fc923399788b89637b9de59,spend,152011,759418.788521883285,324197316.57412950,0.00273536937455536594,0.00162653119451268773,0.00198662558420372572
800ca266a8f29a834dc8c4a9bc507cb3d9f4cd078934ddcc8ff97823,spend,144858,90935.709356749368,37364316.293542641760,0.00260665436619284920,0.00018560214320466051,0.00021818812833312507
3ffeeefc63489a728d3b126c59d537d8ddcb56a1116704aaa3b8a90c,spend,139858,85819.339401392841,34769929.782064665589,0.00251668162163635770,0.00016911359576967324,0.00019603008099478618
55ff0e63efa0694e8065122c552e80c7b51768b7f20917af25752a7c,spend,139663,1094293.677244509999,381792151.82479970,0.00251317268459865453,0.00215338309649933855,0.00214951240390879829
a473cb8eb0b61c03b8696fceab1c1a89fa3ec834572850e7c2abe783,spend,136552,4574211.888547952428,1260193860.94631349,0.00245719164293560552,0.00880076423666251553,0.00693692529113044885
54e8d424816f5bbd423353009ff7c31ada2cbdefe651175014117f46,spend,134463,2452060.905126317277,685053307.29917524,0.00241960103025990337,0.00464558159948873267,0.00371328904390764281
02652a93b8327ba64b6c0bb8dfb11a76cbb333a3fbb4243ddc0859ac,spend,134195,77198.316613882783,30081678.036827005477,0.00241477849115167542,0.00014596549622160099,0.00016273088475073360
1af84a9e697e1e7b042a0a06f061e88182feb9e9ada950b36a916bd5,spend,118541,385666.553335976582,152451162.46000118,0.00213309182249421183,0.00064414939962874597,0.00072850228639510567
1a7c64521bd1849e693730558db5bc3d9c514f96eceb004471b5fa49,spend,115168,1004013.397584398444,307200688.90394901,0.00207239620901640266,0.00162921115961708739,0.00142621697949385792
a3c70492105826529484dae1647038c6a986bacdfcaefaaacd3aa62d,spend,114608,421053.122469635628,155580273.94786577,0.00206231926162607561,0.00067992008313968673,0.00071878839707669973
4811377ea9279acb8fff1d65a225e19c0eca68bb5c1d836a47584e67,spend,113970,75515.865034658243,30289829.439141879442,0.00205083873942066730,0.00012126481066760635,0.00013916145741863505
7dd5bab2fa79f087d1ea2f5bf58a9a5dfc3b09061032ec3cc372566e,spend,113671,89806.370305530874,37019599.440886417820,0.00204545836929618911,0.00014383443366882357,0.00016963403330658257
b2effcce85662fbd52ea6517fcae417a9cd85db752f0f94c1c91a266,spend,108560,65347.159672070744,27226855.880011053795,0.00195348822981054349,0.000099954555787147641533,0.000119151336863850158604
384d2b4b6279a10e1a3bc7168295ec98bbf43de17949065286f27597,spend,102534,73804.909415413424,29514049.194832933466,0.00184505307807105993,0.00010662503699414548,0.00012199113986048663
2c0f418d944902f96424cbc65283a18bd16f29386a4912bda3d8f1f8,spend,100062,454714.131528452360,138256364.34381683,0.00180057055316233054,0.00064108213359639807,0.00055768107091804952
687df05d58764c7d98c9602871e1276aa5f028b9695369f40f430865,spend,98022,975908.555028462998,298499714.50776356,0.00176386167338328200,0.00134784120072215406,0.00117950305971249223
d42d10695c0c2f7b3f7e32a0559c80704da8cf320289e7831b99d825,spend,96619,2461168.246173112949,666298307.83874807,0.00173861532126073049,0.00335050202400088875,0.00259515224484752631
f350350cd40d0d8e8744f2c6cad54a0abc9d51f107f57fb95c181a3f,spend,93922,1598102.713315304189,450863548.70094334,0.00169008402284695897,0.00211484266837131318,0.00170704138154585707
9e94e848482ffb2befe7fe6c2f5171c99086b53b3f73f535ff61ca09,spend,92192,181081.502700885109,59804375.889881985422,0.00165895345323041291,0.00023521952551379666,0.00022225819927424765
d27ad3ed7b073018d429e57c2f8d1f52445aa241e280e6da149a91b4,spend,91433,1598095.894261371715,451953874.74244529,0.00164529559060673750,0.00205878904419428620,0.00166582231680164429
d9143ac63473b17a215d1b7484dfb6ac6b4a0005beb0e26a6ca02c96,spend,79998,176310.915322883072,59883291.853458836471,0.00143952792380604144,0.00019873043022925853,0.00019311516867383017
9d28a9ff246270bb141962fd6d0741190349a329ebc861f0667f1d61,spend,79636,880670.253792254759,366596607.98972826,0.00143301389710015145,0.00098816350085658352,0.00117687265624170503
a23793f529179e09cefb3c37fc6ae081e0e99e99be5cdb55a00941a5,spend,78877,491102.156217908896,170169300.49804125,0.00141935603447647604,0.00054579338587359510,0.00054108212910117281
21f07a4f016c05332a390494328968ab3127a4d638150f51a8874134,spend,78778,70638.947447256848,29802399.383203432430,0.00141757457413425751,0.000078407067913492878790,0.000094642842093208702082
fe4ee3dc2ebe6d57cffda8f896ce93c56d094e26607d6823b1ddd3e8,spend,77404,64696.254095395587,26913326.200454756860,0.00139285006393013364,0.000070558377117461334125,0.000083977389820780628607
de1585e046f16fdf79767300233c1affbe9d30340656acfde45e9142,spend,77129,1179780.006093687199,379597986.02130197,0.00138790156297952661,0.00128210848878742484,0.00118024778082894009
9d6ed16c6d36dee26c6a7da0d83a494de19f8947c92fb520985f9bfa,spend,73770,559192.020008133388,188951197.86951335,0.00132745787318647562,0.00058122835330305609,0.00056190257879149405
232c10966ce4d8e67c2eae17bb57c2cf4854a57509a752fbb3c02bd1,spend,73574,386643.438714763367,99708610.351999347596,0.00132393094159986115,0.00040081231407114405,0.00029572539719065355
0ca50950adbb06c5c5f6833924a66ac873e43202588b6d338602d78d,spend,72941,238188.558094898617,151894250.46820033,0.00131254039213900933,0.00024479280658057781,0.00044662665706957961
74db9c7a23605cacae4ee635a15af6e63c5a39915c481254eeb9758b,spend,72563,9882099.086614390254,989664022.09881069,0.00130573845265053857,0.01010346815547766887,0.00289490691910863951
152e7a364d285842494bb356ddd54ab46eb8360c9fecf5e792525298,reward,70962,627665.257461740086,231304535.61060849,0.00127692917984354999,0.00062756682952593620,0.00066167021952114680
97f1732964905b3c71d12163968814ac5f3be77abc94830a84d32cf9,spend,69155,664648.281483623744,268726888.96513629,0.00124441302996083396,0.00064762188291885613,0.00074914571938548528
22f6999d4effc0ade05f6e1a70b702c65d6b3cdf0e301e4a8267f585,mint,68722,508762.855010040453,196618963.64884608,0.00123662139028224180,0.00049262588616096353,0.00054469424298842238
